17	9	2.48689e+07
17	10	247458
18	0	1.20904e-11
18	1	1.20904e-11
18	2	1.20904e-11
18	3	1.20904e-11
18	4	1.20904e-11
18	5	1.20904e-11
18	6	0.0147147
18	7	13906.8
18	8	5.02122e+06
18	9	2.96634e+07
18	10	209998
19	0	1.20904e-11
19	1	1.20904e-11
19	2	1.20904e-11
19	3	1.20904e-11
19	4	1.20904e-11
19	5	1.20904e-11
19	6	0.103897
19	7	37875
19	8	8.32256e+06
19	9	3.35805e+07
19	10	175709
20	0	1.20904e-11
20	1	1.20904e-11
20	2	1.20904e-11
20	3	1.20904e-11
20	4	1.20904e-11
20	5	1.20904e-11
20	6	0.640997
20	7	96729.5
20	8	1.28615e+07
20	9	3.6114e+07
20	10	147272
21	0	1.20904e-11
21	1	1.20904e-11
21	2	1.20904e-11
21	3	1.20904e-11
21	4	1.20904e-11
21	5	1.20904e-11
21	6	3.4417
21	7	231604
21	8	1.85491e+07
21	9	3.68831e+07
21	10	126300
22	0	1.20904e-11
22	1	1.20904e-11
22	2	1.20904e-11
22	3	1.20904e-11
22	4	1.20904e-11
22	5	7.88909e-11
22	6	16.2598
22	7	519750
22	8	2.50019e+07
22	9	3.5862e+07
22	10	113778
23	0	1.20904e-11
23	1	1.20904e-11
23	2	1.20904e-11
23	3	1.20904e-11
23	4	1.20904e-11
23	5	1.2998e-09
23	6	68.7845
23	7	1.09291e+06
23	8	3.15548e+07
23	9	3.31358e+07
23	10	108902
24	0	1.20904e-11
24	1	1.20904e-11
24	2	1.20904e-11
24	3	1.20904e-11
24	4	1.20904e-11
24	5	1.76281e-08
24	6	265.078
24	7	2.15308e+06
24	8	3.73808e+07
24	9	2.91809e+07
24	10	110265
25	0	1.20904e-11
25	1	1.20904e-11
25	2	1.20904e-11
25	3	1.20904e-11
25	4	1.20904e-11
25	5	2.01787e-07
25	6	942.609
25	7	3.97466e+06
25	8	4.16892e+07
25	9	2.44615e+07
25	10	114972
26	0	1.20904e-11
26	1	1.20904e-11
26	2	1.20904e-11
26	3	1.20904e-11
26	4	1.20904e-11
26	5	4.42743e-06
26	6	3116.48
26	7	6.87911e+06
26	8	4.39379e+07
26	9	1.96419e+07
26	10	120214
27	0	1.20904e-11
27	1	1.20904e-11
27	2	1.20904e-11
27	3	1.20904e-11
27	4	1.20904e-11
27	5	4.52469e-05
27	6	9615.44
27	7	1.1171e+07
27	8	4.39816e+07
27	9	1.5142e+07
27	10	122782
28	0	1.20904e-11
28	1	1.20904e-11
28	2	1.20904e-11
28	3	1.20904e-11
28	4	1.20904e-11
28	5	0.000387337
28	6	27728.2
28	7	1.70365e+07
28	8	4.21019e+07
28	9	1.13575e+07
28	10	120877
29	0	1.20904e-11
29	1	1.20904e-11
29	2	1.20904e-11
29	3	1.20904e-11
29	4	1.20904e-11
29	5	0.00301542
29	6	74783.1
29	7	2.44256e+07
29	8	3.89114e+07
29	9	8.34337e+06
29	10	113381
30	0	1.20904e-11
30	1	1.20904e-11
30	2	1.20904e-11
30	3	1.20904e-11
30	4	1.20904e-11
30	5	0.0216705
30	6	188700
30	7	3.29629e+07
30	8	3.51667e+07
30	9	6.11925e+06
30	10	101232
31	0	1.20904e-11
31	1	1.20904e-11
31	2	1.20904e-11
31	3	1.20904e-11
31	4	1.20904e-11
31	5	0.142344
31	6	445606
31	7	4.19352e+07
31	8	3.15657e+07
31	9	4.50521e+06
31	10	85787.9
32	0	1.20904e-11
32	1	1.20904e-11
32	2	1.20904e-11
32	3	1.20904e-11
32	4	1.20904e-11
32	5	0.712895
32	6	985006
32	7	5.03436e+07
32	8	2.8724e+07
32	9	3.4953e+06
